iter	Passed	Remaining
409	4011	5772
410	4020	5761
411	4029	5750
412	4038	5740
413	4048	5729
414	4059	5721
415	4068	5711
416	4080	5704
417	4094	5700
418	4107	5695
419	4117	5685
420	4125	5674
421	4134	5662
422	4142	5651
423	4152	5641
424	4161	5630
425	4171	5620
426	4182	5613
427	4192	5603
428	4201	5592
429	4209	5580
430	4219	5569
431	4228	5559
432	4237	5548
433	4246	5538
434	4255	5527
435	4264	5515
436	4273	5506
437	4284	5496
438	4293	5486
439	4302	5476
440	4310	5463
441	4320	5453
442	4328	5442
443	4337	5431
444	4345	5420
445	4355	5410
446	4365	5400
447	4374	5389
448	4383	5379
449	4391	5367
450	4401	5357
451	4409	5345
452	4417	5334
453	4427	5324
454	4435	5313
455	4445	5303
456	4453	5291
457	4462	5280
458	4470	5269
459	4478	5257
460	4487	5247
461	4497	5237
462	4507	5228
463	4516	5217
464	4525	5206
465	4534	5195
466	4542	5184
467	4550	5173
468	4559	5162
469	4568	5151
470	4576	5140
471	4585	5129
472	4594	5118
473	4604	5109
474	4612	5098
475	4621	5087
476	4629	5076
477	4637	5064
478	4646	5053
479	4654	5042
480	4662	5031
481	4671	5020
482	4679	5009
483	4687	4997
484	4700	4990
485	4711	4983
486	4720	4972
487	4729	4961
488	4738	4951
489	4747	4941
490	4755	4929
491	4763	4918
492	4772	4907
493	4780	4896
494	4789	4886
495	4798	4875
496	4810	4868
497	4820	4858
498	4829	4848
499	4837	4837
500	4846	4827
501	4854	4816
502	4863	4805
503	4872	4795
504	4881	4784
505	4889	4773
506	4898	4762
507	4906	4751
508	4915	4741
509	4926	4732
510	4934	4721
511	4943	4711
512	4951	4700
513	4960	4690
514	4969	4680
515	4978	4670
516	4987	4659
517	4996	4649
518	5006	4639
519	5015	4630
520	5025	4619
521	5034	4610
522	5042	4599
523	5051	4588
524	5060	4578
525	5069	4568
526	5078	4558
527	5090	4550
528	5101	4542
529	5114	4535
530	5126	4527
531	5139	4520
532	5149	4512
533	5160	4503
534	5171	4494
535	5182	4486
536	5194	4478
537	5206	4470
538	5216	4461
539	5227	4453
540	5237	4443
541	5245	4432
542	5254	4422
543	5263	4411
544	5270	4400
545	5278	4389
546	5288	4379
547	5297	4369
548	5305	4358
549	5315	4348
550	5324	4338
551	5333	4328
552	5341	4317
553	5349	4306
554	5358	4296
555	5367	4286
556	5376	4275
557	5385	4265
558	5393	4255
559	5402	4244
560	5411	4234
561	5419	4224
562	5428	4213
563	5437	4203
564	5445	4192
565	5454	4182
566	5463	4172
567	5472	4162
568	5482	4153
569	5491	4143
570	5502	4134
571	5512	4124
572	5521	4114
573	5531	4104
574	5540	4094
575	5551	4086
576	5562	4077
577	5573	4069
578	5584	4060
579	5595	4051
580	5605	4042
581	5616	4033
582	5627	4025
583	5637	4015
584	5646	4005
585	5655	3995
586	5664	3985
587	5672	3974
588	5681	3964
589	5691	3955
590	5700	3944
591	5709	3935
592	5718	3924
593	5729	3916
594	5739	3906
595	5748	3896
596	5758	3886
597	5766	3876
598	5774	3866
599	5784	3856
600	5795	3847
601	5805	3838
602	5814	3828
603	5824	3818
604	5833	3808
605	5843	3798
606	5851	3788
607	5861	3778
608	5870	3769
609	5879	3758
610	5888	3749
611	5897	3738
612	5906	3728
613	5914	3718
614	5924	3708
615	5934	3699
616	5943	3689
617	5951	3679
618	5960	3668
619	5969	3658
620	5978	3648
621	5988	3639
622	5998	3629
623	6007	3620
624	6018	3610
625	6027	3600
626	6036	3591
627	6045	3580
628	6054	3570
629	6062	3560
630	6071	3550
631	6080	3540
632	6089	3530
633	6099	3521
634	6109	3511
635	6119	3502
636	6127	3491
637	6137	3482
638	6146	3472
639	6154	3461
640	6164	3452
641	6172	3442
642	6182	3432
643	6190	3422
644	6199	3412
645	6206	3401
646	6215	3390
647	6223	3380
648	6232	3370
649	6241	3360
650	6250	3350
651	6258	3340
652	6267	3330
653	6275	3320
654	6284	3310
655	6294	3300
656	6303	3291
657	6314	3282
658	6325	3273
659	6335	3263
