iter	Logloss
257	0.1825845301
258	0.1825366045
259	0.182433939
260	0.1822763652
261	0.1821899717
262	0.1821045975
263	0.1820446046
264	0.1819456559
265	0.1818698707
266	0.1817873099
267	0.1816925947
268	0.1816526313
269	0.1816336919
270	0.1815206585
271	0.1814206573
272	0.1814156068
273	0.181295664
274	0.1812464908
275	0.1811610706
276	0.1811038683
277	0.180984968
278	0.1809664194
279	0.1808577309
280	0.1807363611
281	0.1806407028
282	0.1805262081
283	0.1804780958
284	0.1802935963
285	0.1802121531
286	0.1801117115
287	0.1800369368
288	0.179918925
289	0.1798120664
290	0.179738599
291	0.1796531255
292	0.1794972764
293	0.1794655349
294	0.1793958975
295	0.179285599
296	0.1792317033
297	0.179170962
298	0.17915101
299	0.179045193
300	0.1789617418
301	0.1788382473
302	0.1787333522
303	0.1785941846
304	0.17848338
305	0.1784634253
306	0.1783172649
307	0.1782226995
308	0.1781274437
309	0.1780096812
310	0.1779969745
311	0.1779853215
312	0.1778764893
313	0.1777988209
314	0.1777544256
315	0.177632101
316	0.1775271544
317	0.1774150588
318	0.177324344
319	0.1773021114
320	0.1771650556
321	0.1770895646
322	0.1769971024
323	0.1768648995
324	0.1767482264
325	0.1765710158
326	0.1764946821
327	0.1763252999
328	0.176238903
329	0.1761274146
330	0.1760901509
331	0.1759804779
332	0.175888321
333	0.1758057457
334	0.1757165962
335	0.1756355488
336	0.1755054822
337	0.1754848602
338	0.1754649653
339	0.1753929852
340	0.1753373373
341	0.1752352821
342	0.1751340591
343	0.1749896398
344	0.1749174445
345	0.1748520626
346	0.174768206
347	0.1746644637
348	0.174550489
349	0.1745343019
350	0.1744755905
351	0.1744662152
352	0.1743917782
353	0.1742909461
354	0.1742734111
355	0.1741661503
356	0.1741624441
357	0.1740718928
358	0.1739654725
359	0.1738794724
360	0.173764739
361	0.1736531001
362	0.1736380202
363	0.1735899323
364	0.1734802984
365	0.173384128
366	0.1732958228
367	0.173285825
368	0.1732486601
369	0.1731623446
370	0.1730404459
371	0.1728946342
372	0.1728291853
373	0.1727320097
374	0.1726352468
375	0.1725421189
376	0.1725389735
377	0.1724573077
378	0.1723571589
379	0.1722204781
380	0.1721416294
381	0.1720497737
382	0.1719512787
383	0.1718478798
384	0.1718113237
385	0.171745269
386	0.1716703877
387	0.1715563051
388	0.1714511993
389	0.1713565752
390	0.1712569212
391	0.1711727843
392	0.1711561648
393	0.1710802719
394	0.171029988
395	0.1709675626
396	0.1709612344
397	0.1709523836
398	0.1708758451
399	0.1707782506
400	0.1707077295
401	0.1706225528
402	0.1705222966
403	0.1704552748
404	0.1702460798
405	0.17018115
406	0.1700852612
407	0.1700066677
408	0.1698719434
409	0.1697788688
410	0.1697464411
411	0.1696487675
412	0.1695742005
413	0.1694719588
414	0.1693856127
415	0.1692875399
416	0.1691939589
417	0.1691584399
418	0.1690820386
419	0.1689709574
420	0.1688702267
421	0.1688021143
422	0.1687021724
423	0.1686137561
424	0.1685009418
425	0.1684569209
426	0.1683880343
427	0.1683064447
428	0.1682231717
429	0.168156154
430	0.1680452061
431	0.1679535668
432	0.1678518168
433	0.1678077534
434	0.1677134819
435	0.1676434475
436	0.1675961746
437	0.1674983928
438	0.1674258495
439	0.1674115092
440	0.1673988198
441	0.1673250262
442	0.1672633064
443	0.167160998
444	0.1670638359
445	0.1669993594
446	0.1669253778
447	0.1669002306
448	0.1668248443
449	0.1667679243
450	0.1666855338
451	0.1666105588
452	0.1666028705
453	0.16652617
454	0.1664559516
455	0.1663835575
456	0.1663273552
457	0.1662505406
458	0.1661674521
459	0.1661533291
460	0.1661063792
461	0.1660474782
462	0.1659700784
463	0.165914204
464	0.165839035
465	0.1657619634
466	0.1656939967
467	0.165685922
468	0.1655961496
469	0.1654965229
470	0.1654108288
471	0.1653249721
472	0.1652294431
473	0.1651403945
474	0.1650785238
475	0.1650286573
476	0.1649725152
477	0.1649648631
478	0.1648960558
479	0.1648423296
480	0.164783441
481	0.1647033416
482	0.1646961907
483	0.1646289036
484	0.1645350265
485	0.1644713828
486	0.164423843
487	0.1643718035
488	0.1643083015
489	0.1642284139
490	0.1642217938
491	0.164210257
492	0.1641366106
493	0.1640529189
494	0.1639713595
495	0.1638649035
496	0.1637908381
497	0.163709443
498	0.1636813635
499	0.1636175402
500	0.1635407146
501	0.1634514839
502	0.1633919783
503	0.1633277347
504	0.1632552831
505	0.1631864583
506	0.1631403984
507	0.1631345508
508	0.1630664937
509	0.1629817223
510	0.1629014219
511	0.1628284342
512	0.1628213493
513	0.1627497831
514	0.1626970004
515	0.1626045843
516	0.1625179716
517	0.1624607449
518	0.1624129604
519	0.1623364351
520	0.1622613161
521	0.1621759986
522	0.1621704239
523	0.1621448618
524	0.1620839026
525	0.1620451431
526	0.1619921755
527	0.1619866941
528	0.1619128542
529	0.1618577467
530	0.1617855715
531	0.1617359436
532	0.1616550722
533	0.1615964621
534	0.161560973
535	0.1615041035
536	0.1614572921
537	0.1614088287
538	0.1613482638
539	0.161273799
540	0.161269495
541	0.1612094881
542	0.1611585274
543	0.1610694145
544	0.1610630206
545	0.1610377879
546	0.1609731596
547	0.1609030184
548	0.1608378531
549	0.1607937328
550	0.1606958951
551	0.1606269027
552	0.1605526245
553	0.1605476817
554	0.1604702584
555	0.160422534
556	0.160350238
557	0.1602734655
558	0.1602033643
559	0.1601356683
560	0.1600412186
561	0.1599716891
562	0.1599045261
563	0.1598300972
564	0.159780259
565	0.1597569739
566	0.1596959327
567	0.1596617249
568	0.159586947
569	0.1595274341
570	0.1594778803
571	0.1594147862
572	0.1593722111
573	0.1592520602
574	0.159186542
575	0.1591442745
576	0.1590697089
577	0.1589657273
578	0.1589024526
579	0.1588334785
580	0.158828798
581	0.1587784229
582	0.1587204506
583	0.1586414173
584	0.1585844211
585	0.1585203811
586	0.158446414
587	0.1584449044
588	0.158395253
589	0.1583500196
590	0.1582985678
591	0.1582102809
592	0.1581675722
593	0.1581281031
594	0.1581096016
595	0.1580459447
596	0.157967993
597	0.1578784956
598	0.1578335799
599	0.1577954135
600	0.1577459231
601	0.1577180113
602	0.1576752015
603	0.1576453033
604	0.1576083236
605	0.1575291207
606	0.1574781646
607	0.1574195548
608	0.1573490644
609	0.1572941852
610	0.157203183
611	0.1571503234
612	0.1570686087
613	0.1570114019
614	0.1569244583
615	0.1568517434
616	0.1568161298
617	0.1567426589
618	0.1566647241
619	0.1566098096
620	0.1565435041
621	0.156470297
622	0.1564120127
623	0.1563559905
624	0.1563024348
625	0.1562135753
626	0.1561642632
627	0.1561015011
628	0.1560446099
629	0.1560206419
630	0.1559572099
631	0.1558607587
632	0.155790451
633	0.1557473822
634	0.1556859482
635	0.1556086347
636	0.1555114052
637	0.1554669928
638	0.1554191423
639	0.1553631745
640	0.1553174682
641	0.1552509517
642	0.1552103585
643	0.1551613658
644	0.1551024214
645	0.1551011442
646	0.1550466869
647	0.154970156
648	0.1548949875
649	0.1548453821
650	0.1547621958
651	0.1547255817
652	0.1546490527
653	0.1546313688
654	0.1545724765
655	0.1545104125
656	0.154433853
657	0.1543910616
658	0.1543275146
659	0.1542813879
660	0.1542201583
661	0.1541280652
662	0.1540733453
663	0.1540259684
664	0.1539924331
665	0.1538920726
666	0.1538428989
667	0.1537738823
668	0.1536952184
669	0.1536164617
670	0.153531028
671	0.1534879502
672	0.1534640531
673	0.1533925842
674	0.1533358813
675	0.153260953
676	0.1532023473
677	0.153174866
678	0.1531043599
679	0.153048263
680	0.1529739362
681	0.1528585041
682	0.152803914
683	0.1527570443
684	0.1526955432
685	0.1526551417
686	0.1526032114
687	0.1525599838
688	0.1525039448
689	0.1524444428
690	0.1523976426
691	0.1523275085
692	0.1522644846
693	0.1522197166
694	0.1521242477
695	0.1520674604
696	0.1519729828
697	0.1518817164
698	0.1518053746
699	0.1517119443
700	0.151646172
701	0.1516075597
702	0.1515437466
703	0.1514750499
704	0.1514249388
705	0.1513769663
706	0.1513264582
707	0.1512754184
708	0.1512211077
709	0.1512010567
710	0.1511558524
711	0.1510944874
712	0.1510892
713	0.1510800882
714	0.1510073334
715	0.1509543999
716	0.1509425279
717	0.1508823838
718	0.150877816
719	0.1508008496
720	0.1507490259
721	0.1507026631
722	0.1506372581
723	0.150583167
724	0.150505144
725	0.1504597852
726	0.1504016525
727	0.1503372561
728	0.1502659122
729	0.1501832322
730	0.1501244453
731	0.1500316298
732	0.149975311
733	0.1499601008
734	0.1498955606
735	0.149857677
736	0.1497967842
737	0.1497279668
738	0.1496422076
739	0.1495894727
740	0.1495221235
741	0.1494802207
742	0.1494080075
743	0.1493541426
744	0.1493177646
745	0.1492721656
746	0.1492074682
747	0.1491794846
748	0.1491145599
749	0.1490626627
750	0.1489723077
751	0.1488861138
752	0.1488142271
753	0.1487481851
754	0.1486989254
755	0.1486334104
756	0.1485655864
757	0.1485437708
758	0.1484540711
759	0.1484153895
760	0.1483730054
761	0.1482829526
762	0.1482425936
763	0.1481967601
764	0.1481306689
765	0.1480688544
766	0.1480236469
767	0.1479310152
768	0.1478739392
769	0.1478423764
770	0.1477658147
771	0.1477092688
772	0.1476699725
773	0.1476047506
774	0.1475443381
775	0.1474926796
776	0.1474496591
777	0.1473868457
778	0.1473329688
779	0.147212441
780	0.1471489073
781	0.1471004086
782	0.1470398082
783	0.1469991271
784	0.1469631401
785	0.1469164233
786	0.1468397328
787	0.146777946
788	0.1467124474
789	0.1466608558
790	0.1466042178
791	0.1465742498
792	0.1465201181
793	0.1464535396
794	0.1463613546
795	0.1463322994
796	0.1462824994
797	0.146215503
798	0.1461708081
799	0.1461228031
800	0.1460142356
801	0.145947683
802	0.1458955714
803	0.1458444794
804	0.1457808862
805	0.1457022187
806	0.1456578958
807	0.1455978658
808	0.1455224723
809	0.1454598985
810	0.1454074602
811	0.1453202567
812	0.1452678208
813	0.1452208557
814	0.1451602523
815	0.1450906363
816	0.1450277101
817	0.1449691177
818	0.1448893567
819	0.14485798
820	0.1447821621
821	0.1447472784
822	0.1446938944
823	0.1446387106
824	0.1445913664
825	0.144515711
826	0.1444742203
827	0.1444064465
828	0.1443594711
829	0.1443072163
830	0.1442640293
831	0.1441805173
832	0.1441601392
833	0.1441221033
834	0.1440775513
835	0.144004614
836	0.143932648
837	0.1438801205
838	0.1438186927
839	0.1437569043
840	0.143694986
841	0.1436130317
842	0.1435746071
843	0.1435313532
844	0.1434471804
845	0.1433897221
846	0.1433094742
847	0.1432738343
848	0.1432343965
849	0.1431771171
850	0.1431582944
851	0.1431104715
852	0.1430570705
853	0.1429732114
854	0.1429122749
855	0.1428936668
856	0.142823468
857	0.1427841831
858	0.1427343502
859	0.1426896689
860	0.1426262262
861	0.1425675653
862	0.1425164491
863	0.1424545791
864	0.1424071777
865	0.1423525172
866	0.1423087698
867	0.1422384109
868	0.1422354378
869	0.1421455139
870	0.142078211
871	0.1420077737
872	0.1419476221
873	0.1418103267
874	0.1417339634
875	0.1416834097
876	0.1416415399
877	0.1415745929
878	0.141543868
879	0.1414961849
880	0.1414784224
881	0.1414374262
882	0.1414042639
883	0.1413523106
884	0.1413037348
885	0.1412415432
886	0.1411726329
887	0.1411189622
888	0.1410767629
889	0.1409891334
890	0.1409254457
891	0.1408738983
892	0.1408322444
893	0.1407881792
894	0.1407436717
895	0.1406861748
896	0.1406257233
897	0.1406014442
898	0.1405369215
899	0.1404645605
900	0.1404400585
901	0.1403959849
902	0.1403162427
903	0.1402571646
904	0.1402151138
905	0.1401701947
906	0.140127133
907	0.1400864199
908	0.1400460043
909	0.1399904117
910	0.1399249176
911	0.1398813539
912	0.1398231155
913	0.139769504
914	0.1397301311
915	0.1396817918
916	0.1396303713
917	0.1395551471
918	0.1395048567
919	0.1394436123
920	0.1393804212
921	0.1393202558
922	0.1392598221
923	0.1392246612
924	0.1391405157
925	0.1390891429
926	0.139052243
927	0.1389890913
928	0.1389370489
929	0.1388941348
930	0.1387989902
931	0.1387503831
932	0.1387496471
933	0.1387049922
934	0.1386739484
935	0.1386502186
936	0.1386178241
937	0.1385804832
938	0.1385165914
939	0.1385110839
940	0.1385103768
941	0.1384576739
942	0.138417799
943	0.1383769437
944	0.1383406753
945	0.1383066792
946	0.1382512016
947	0.1382505536
948	0.1382018883
949	0.1381370142
950	0.1381229402
951	0.1380821022
952	0.1380371262
953	0.1379657988
954	0.1379213236
955	0.1378875165
956	0.1378609856
957	0.1377976986
958	0.1377659529
959	0.1377046346
960	0.1376590585
961	0.1376282885
962	0.1375736978
963	0.1375548491
964	0.137519303
965	0.1374426046
966	0.1373957699
967	0.1373468642
968	0.1372897076
969	0.1372434536
970	0.1371996215
971	0.1371639755
972	0.1371374986
973	0.1371235128
974	0.1370710088
975	0.1369917466
976	0.1369632833
977	0.1369199817
978	0.1368861767
979	0.1368365407
980	0.1367884681
981	0.1367221642
982	0.1366685949
983	0.1366048352
984	0.1365705701
985	0.1365386268
986	0.1364990274
987	0.1364537785
988	0.1364127759
989	0.1363959534
990	0.1363472041
991	0.1363299069
992	0.1362808391
993	0.1362241105
994	0.1361915218
995	0.136156855
996	0.1361145148
997	0.1360513667
998	0.1360267034
999	0.1359958862
